FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-01-01T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-01T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-01T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-02T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,CHINA,MASCULINO,URBANA,CHINA
2022-01-03T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-03T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-06T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),MUERTE ACCIDENTAL,COLOMBIA,FEMENINO,RURAL,COLOMBIA
2022-01-06T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,GUAJIRA,Uribia,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,-,FEMENINO,URBANA,-
2022-01-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),SUICIDIO,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-09T00:00:00.000,COLOMBIA,M. VILLAVICENCIO,Villavicencio (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,M. SANTA MARTA,Ciénaga,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,TOLIMA,Lérida,CHOQUE SIMPLE (SOLO DAÑO TRANSITO),ALEMANIA,MASCULINO,RURAL,ALEMANIA
2022-01-10T00:00:00.000,COLOMBIA,TOLIMA,Lérida,ELABORACION DE CROQUIS EN C Y T,ALEMANIA,MASCULINO,RURAL,ALEMANIA
2022-01-13T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-13T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-14T00:00:00.000,COLOMBIA,M. SANTA MARTA,Ciénaga,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-14T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-14T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),MUERTE ACCIDENTAL,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-15T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),MUERTE NATURAL,ARGENTINA,MASCULINO,URBANA,ARGENTINA
2022-01-16T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-17T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,PERU,MASCULINO,URBANA,PERU
2022-01-17T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-17T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-18T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,CHILE,MASCULINO,URBANA,CHILE
2022-01-19T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-21T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CHILE,FEMENINO,URBANA,CHILE
2022-01-21T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
2022-01-21T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO RESIDENCIAS,-,MASCULINO,URBANA,-
2022-01-21T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-21T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
2022-01-21T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),RECUPERACION,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-22T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,LEVANTAMIENTO DE CADAVERES,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-22T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,MUERTE ACCIDENTAL,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-23T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-24T00:00:00.000,COLOMBIA,HUILA,Garzón,ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
2022-01-24T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,BELGICA,MASCULINO,URBANA,BELGICA
2022-01-24T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2022-01-24T00:00:00.000,COLOMBIA,SUCRE,Ovejas,ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-01-25T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
2022-01-25T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-27T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-27T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-01-28T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-29T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ARABIA SAUDITA,MASCULINO,URBANA,ARABIA SAUDITA
2022-01-29T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,IRAN,MASCULINO,URBANA,IRAN
2022-01-29T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),INSPECCION A CADAVER,BRASIL,MASCULINO,URBANA,BRASIL
2022-01-29T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),MUERTE POR ESTABLECER,BRASIL,MASCULINO,URBANA,BRASIL
2022-01-29T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-29T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),SUICIDIO,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-30T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-01-30T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-31T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-02-02T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-03T00:00:00.000,COLOMBIA,HUILA,San Agustín,ARTÍCULO 239. HURTO RESIDENCIAS,LIBANO,MASCULINO,RURAL,LIBANO
2022-02-03T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,BELGICA,FEMENINO,URBANA,BELGICA
2022-02-03T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,JAPON,MASCULINO,URBANA,JAPON
2022-02-03T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,PAISES BAJOS,MASCULINO,URBANA,PAISES BAJOS
2022-02-05T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-05T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-08T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,PAISES BAJOS,FEMENINO,URBANA,PAISES BAJOS
2022-02-08T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
2022-02-08T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,RURAL,COLOMBIA
2022-02-08T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-09T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ARGENTINA,FEMENINO,URBANA,ARGENTINA
2022-02-09T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-02-11T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,-,FEMENINO,URBANA,-
2022-02-12T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-02-12T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,RURAL,COLOMBIA
2022-02-13T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-13T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-13T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-14T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-15T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-16T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-18T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2022-02-18T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,CHINA,FEMENINO,URBANA,CHINA
2022-02-19T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO RESIDENCIAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
2022-02-20T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-21T00:00:00.000,COLOMBIA,AMAZONAS,Leticia (CT),ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,BRASIL,FEMENINO,URBANA,BRASIL
2022-02-21T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-23T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-24T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
2022-02-24T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-02-25T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,URUGUAY,MASCULINO,URBANA,URUGUAY
2022-02-25T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-02-25T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-02-28T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,ECUADOR,MASCULINO,URBANA,ECUADOR
2022-03-01T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-03-01T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
2022-03-02T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-03T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-04T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-05T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,REINO UNIDO,MASCULINO,URBANA,REINO UNIDO
2022-03-05T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-03-06T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-10T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-03-10T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,-,FEMENINO,URBANA,-
2022-03-11T00:00:00.000,COLOMBIA,M. BARRANQUILLA,Malambo,ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,RURAL,VENEZUELA
2022-03-11T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),MUERTE ACCIDENTAL,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
2022-03-11T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-12T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,RURAL,COLOMBIA
2022-03-16T00:00:00.000,COLOMBIA,GUAJIRA,Manaure,INSPECCION A CADAVER,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-03-16T00:00:00.000,COLOMBIA,GUAJIRA,Manaure,INTERVENCION EN CASOS DE POLICIA,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-03-16T00:00:00.000,COLOMBIA,GUAJIRA,Manaure,MUERTE ACCIDENTAL,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-03-16T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-18T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-20T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-21T00:00:00.000,COLOMBIA,M. CARTAGENA,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-03-25T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-25T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-27T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-03-27T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-03-30T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ITALIA,MASCULINO,URBANA,ITALIA
2022-04-01T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-02T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-03T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-04-03T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
2022-04-04T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
2022-04-06T00:00:00.000,COLOMBIA,M. CALI,Cali (CT),ARTÍCULO 111. LESIONES PERSONALES,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2022-04-07T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ISRAEL,MASCULINO,URBANA,ISRAEL
2022-04-08T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2022-04-10T00:00:00.000,COLOMBIA,M. MEDELLÍN,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-10T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-04-10T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-04-11T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-04-11T00:00:00.000,COLOMBIA,M. SANTA MARTA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
